sample	week	diet	group
1wkc1.1	1	control	control_1
1wkc1.2	1	control	control_1
1wkc1.3	1	control	control_1
1wkc1.4	1	control	control_1
1wkc2.1	1	control	control_1
1wkc2.2	1	control	control_1
1wkc2.3	1	control	control_1
1wkc2.4	1	control	control_1
1wkl1.1	1	lidpad	lidpad_1
1wkl1.2	1	lidpad	lidpad_1
1wkl1.3	1	lidpad	lidpad_1
1wkl1.4	1	lidpad	lidpad_1
1wkl2.1	1	lidpad	lidpad_1
1wkl2.2	1	lidpad	lidpad_1
1wkl2.3	1	lidpad	lidpad_1
1wkl2.4	1	lidpad	lidpad_1
4wkc1.1	4	control	control_4
4wkc1.2	4	control	control_4
4wkc1.3	4	control	control_4
4wkc1.4	4	control	control_4
4wkl1.1	4	lidpad	lidpad_4
4wkl1.2	4	lidpad	lidpad_4
4wkl1.3	4	lidpad	lidpad_4
4wkl1.4	4	lidpad	lidpad_4
4wkl2.1	4	lidpad	lidpad_4
4wkl2.2	4	lidpad	lidpad_4
4wkl2.3	4	lidpad	lidpad_4
4wkl2.4	4	lidpad	lidpad_4
8wkc2.1	8	control	control_8
8wkc2.2	8	control	control_8
8wkc2.3	8	control	control_8
8wkc2.4	8	control	control_8
8wkl1.1	8	lidpad	lidpad_8
8wkl1.2	8	lidpad	lidpad_8
8wkl1.3	8	lidpad	lidpad_8
8wkl1.4	8	lidpad	lidpad_8
8wkl2.1	8	lidpad	lidpad_8
8wkl2.2	8	lidpad	lidpad_8
8wkl2.3	8	lidpad	lidpad_8
8wkl2.4	8	lidpad	lidpad_8
12wkc1.1	12	control	control_12
12wkc1.2	12	control	control_12
12wkc1.3	12	control	control_12
12wkc1.4	12	control	control_12
12wkc2.1	12	control	control_12
12wkc2.2	12	control	control_12
12wkc2.3	12	control	control_12
12wkc2.4	12	control	control_12
12wkl1.1	12	lidpad	lidpad_12
12wkl1.2	12	lidpad	lidpad_12
12wkl1.3	12	lidpad	lidpad_12
12wkl1.4	12	lidpad	lidpad_12
12wkl2.1	12	lidpad	lidpad_12
12wkl2.2	12	lidpad	lidpad_12
12wkl2.3	12	lidpad	lidpad_12
12wkl2.4	12	lidpad	lidpad_12
16wkc1.1	16	control	control_16
16wkc1.2	16	control	control_16
16wkc1.3	16	control	control_16
16wkc1.4	16	control	control_16
16wkc2.1	16	control	control_16
16wkc2.2	16	control	control_16
16wkc2.3	16	control	control_16
16wkc2.4	16	control	control_16
16wkc3.1	16	control	control_16
16wkc3.2	16	control	control_16
16wkc3.3	16	control	control_16
16wkc3.4	16	control	control_16
16wkl1.1	16	lidpad	lidpad_16
16wkl1.2	16	lidpad	lidpad_16
16wkl1.3	16	lidpad	lidpad_16
16wkl1.4	16	lidpad	lidpad_16
16wkl2.1	16	lidpad	lidpad_16
16wkl2.2	16	lidpad	lidpad_16
16wkl2.3	16	lidpad	lidpad_16
16wkl2.4	16	lidpad	lidpad_16
16wkl3.1	16	lidpad	lidpad_16
16wkl3.2	16	lidpad	lidpad_16
16wkl3.3	16	lidpad	lidpad_16
16wkl3.4	16	lidpad	lidpad_16
p1w32c1	32	control	control_32
p1w32c2	32	control	control_32
p1w32c3	32	control	control_32
p1w32c4	32	control	control_32
p1w32l1	32	lidpad	lidpad_32
p1w32l2	32	lidpad	lidpad_32
p1w32l3	32	lidpad	lidpad_32
p1w32l4	32	lidpad	lidpad_32
p2w32l1	32	lidpad	lidpad_32
p2w32l2	32	lidpad	lidpad_32
p2w32l3	32	lidpad	lidpad_32
p2w32l4	32	lidpad	lidpad_32
p1w48c1	48	control	control_48
p1w48c2	48	control	control_48
p1w48c3	48	control	control_48
p1w48c4	48	control	control_48
p2w48c1	48	control	control_48
p2w48c2	48	control	control_48
p2w48c3	48	control	control_48
p2w48c4	48	control	control_48
p3w48l1	48	lidpad	lidpad_48
p3w48l2	48	lidpad	lidpad_48
p3w48l3	48	lidpad	lidpad_48
p3w48l4	48	lidpad	lidpad_48
