,1wkc1.1,1wkc1.2,1wkc1.3,1wkc1.4,1wkc2.1,1wkc2.2,1wkc2.3,1wkc2.4,1wkl1.1,1wkl1.2,1wkl1.3,1wkl1.4,1wkl2.1,1wkl2.2,1wkl2.3,1wkl2.4
ENSMUSG00000102693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951,0,0,0,0,2,0,0,4,0,0,0,0,2,0,0,0
ENSMUSG00000102851,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
ENSMUSG00000103161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025902,3,12,6,4,16,16,12,9,10,10,14,2,5,4,6,8
ENSMUSG00000104238,0,0,4,8,0,2,6,4,2,2,2,2,2,0,0,0
ENSMUSG00000102269,2,2,0,0,2,4,4,3,0,0,0,0,0,0,2,4
