,p1w32c1,p1w32c2,p1w32c3,p1w32c4,p1w32l1,p1w32l2,p1w32l3,p1w32l4,p2w32l1,p2w32l2,p2w32l3,p2w32l4
ENSMUSG00000102693,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951,0,0,0,0,0,2,2,2,0,4,2,2
ENSMUSG00000102851,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000103377,0,0,0,0,0,0,0,0,0,0,0,4
ENSMUSG00000104017,0,0,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000103025,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103161,0,0,0,0,2,3,0,0,4,0,2,0
ENSMUSG00000102331,0,0,0,0,0,2,0,0,0,4,2,0
ENSMUSG00000102348,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025900,0,0,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000102948,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025902,5,6,2,3,14,8,12,8,17,8,6,11
ENSMUSG00000104238,0,2,1,0,4,2,0,2,2,0,2,0
ENSMUSG00000102269,0,0,0,0,0,0,2,0,0,0,5,0
ENSMUSG00000096126,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000104328,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102735,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098104,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102175,0,0,0,0,2,0,0,0,0,0,0,0
ENSMUSG00000088000,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000103265,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103922,2,11,8,8,10,8,9,14,10,10,5,8
ENSMUSG00000033845,246,229,282,217,194,166,193,180,241,191,210,210
ENSMUSG00000102275,3,0,6,2,0,0,2,0,2,6,10,4
ENSMUSG00000025903,619,566,504,571,555,549,534,524,602,530,548,609
ENSMUSG00000104217,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033813,411,366,471,368,316,320,291,376,348,375,346,365
ENSMUSG00000062588,8,3,3,6,14,11,3,4,2,11,6,12
ENSMUSG00000103280,0,0,2,0,0,4,4,0,2,0,0,0
ENSMUSG00000002459,2,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000091305,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102653,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085623,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091665,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033793,321,325,304,319,375,322,327,298,417,382,343,331
ENSMUSG00000104352,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102907,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025905,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103936,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907,555,618,501,526,640,583,565,560,630,591,591,545
ENSMUSG00000090031,14,24,26,12,29,16,42,22,46,24,32,34
ENSMUSG00000087247,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103355,0,2,0,0,0,0,0,0,8,0,0,4
ENSMUSG00000102706,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103845,0,0,0,4,0,0,0,0,0,0,0,2
ENSMUSG00000033740,0,0,0,0,4,0,2,0,0,0,2,0
ENSMUSG00000103329,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104385,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102135,0,2,3,6,2,4,5,2,3,5,3,0
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051285,1072,981,997,947,755,861,808,828,1006,821,820,851
ENSMUSG00000098201,2,2,6,0,0,4,2,0,2,2,9,4
ENSMUSG00000103509,71,68,64,38,63,62,47,69,64,63,73,60
ENSMUSG00000048538,204,207,187,192,161,132,158,135,121,130,117,116
ENSMUSG00000103709,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097797,0,0,0,0,4,2,0,3,0,4,2,0
ENSMUSG00000103498,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103067,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102320,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104226,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103903,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025909,14,13,14,10,32,26,28,17,30,27,30,32
ENSMUSG00000102647,0,0,2,0,0,2,0,0,0,0,0,0
ENSMUSG00000086235,0,0,0,0,0,2,0,2,0,0,1,0
ENSMUSG00000102253,0,0,0,0,4,2,3,2,0,6,0,0
ENSMUSG00000093970,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103884,0,0,0,0,0,2,0,0,0,2,2,0
ENSMUSG00000084353,2,2,2,0,0,3,0,0,2,6,3,3
ENSMUSG00000103933,1,6,10,0,0,6,4,0,2,0,2,0
ENSMUSG00000076135,4,8,8,12,6,10,10,10,4,11,7,17
ENSMUSG00000086195,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104504,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000066693,2,6,0,0,0,0,0,2,2,0,0,2
ENSMUSG00000102316,0,0,0,0,0,0,2,0,2,0,0,1
ENSMUSG00000103819,0,0,0,0,0,0,0,0,4,0,0,0
ENSMUSG00000102871,2,2,2,2,0,8,8,2,2,5,8,7
ENSMUSG00000101571,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104428,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102272,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000065625,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103411,0,2,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000061024,69,73,60,87,55,61,37,55,65,73,54,56
ENSMUSG00000025911,325,259,276,275,555,507,476,484,516,491,503,484
ENSMUSG00000079671,11,10,4,11,17,8,13,10,16,11,13,8
ENSMUSG00000081441,14,15,19,10,14,17,13,20,23,14,18,14
ENSMUSG00000067879,2,0,2,6,6,6,9,16,6,6,13,9
ENSMUSG00000099827,0,0,0,0,0,0,0,0,1,0,0,0
ENSMUSG00000025912,4,3,4,4,112,76,73,71,84,84,94,78
ENSMUSG00000045210,408,365,366,374,307,296,320,313,433,341,347,378
