,p1w48c1,p1w48c2,p1w48c3,p1w48c4,p2w48c1,p2w48c2,p2w48c3,p2w48c4,p3w48l1,p3w48l2,p3w48l3,p3w48l4
ENSMUSG00000102693,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951,0,0,0,0,0,0,0,0,0,0,0,8
ENSMUSG00000102851,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103377,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104017,0,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000103025,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103161,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102331,0,0,0,0,0,0,0,1,2,0,0,0
ENSMUSG00000102348,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025900,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102948,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025902,4,8,4,9,18,8,6,6,12,16,19,20
ENSMUSG00000104238,2,0,2,2,0,0,0,4,4,0,4,0
ENSMUSG00000102269,2,0,0,2,2,0,0,0,2,0,0,0
ENSMUSG00000096126,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104328,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102735,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098104,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102175,0,0,0,0,0,0,0,0,0,4,1,0
ENSMUSG00000088000,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103265,0,0,0,0,0,0,0,0,0,2,0,2
ENSMUSG00000103922,9,13,7,13,9,3,6,5,13,4,11,13
ENSMUSG00000033845,198,172,176,203,170,159,181,160,266,210,222,274
ENSMUSG00000102275,0,0,2,2,4,2,4,0,11,0,10,2
ENSMUSG00000025903,470,493,503,426,623,457,495,466,673,631,613,634
ENSMUSG00000104217,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033813,387,356,289,334,282,310,279,298,396,425,413,426
ENSMUSG00000062588,4,12,4,4,3,4,0,2,8,11,5,3
ENSMUSG00000103280,0,0,0,4,2,0,0,2,2,0,2,2
ENSMUSG00000002459,0,0,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000091305,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102653,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085623,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000091665,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033793,264,237,286,224,288,246,250,222,407,420,446,417
ENSMUSG00000104352,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102907,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025905,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103936,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907,508,609,498,512,567,454,592,490,756,693,686,779
ENSMUSG00000090031,10,28,32,19,14,15,15,17,36,39,39,42
ENSMUSG00000087247,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103355,0,0,0,4,0,0,2,0,0,4,2,4
ENSMUSG00000102706,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103845,2,2,0,0,0,0,0,0,3,0,2,1
ENSMUSG00000033740,0,0,0,0,0,0,0,0,6,0,6,2
ENSMUSG00000103329,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104385,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102135,1,2,3,10,0,5,0,0,0,4,7,1
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051285,1215,1109,1049,1133,982,900,892,904,1225,1116,1110,1082
ENSMUSG00000098201,4,4,1,4,2,4,3,8,5,5,1,3
ENSMUSG00000103509,62,48,60,65,82,73,84,60,87,75,74,76
ENSMUSG00000048538,164,163,170,157,151,138,167,168,133,136,123,172
ENSMUSG00000103709,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097797,2,0,2,0,0,2,2,2,4,3,2,2
ENSMUSG00000103498,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103067,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102320,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104226,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103903,0,0,0,0,0,0,0,0,0,0,2,0
ENSMUSG00000103557,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025909,14,6,10,9,4,6,6,17,63,83,70,62
ENSMUSG00000102647,2,0,0,0,0,0,0,0,2,0,4,0
ENSMUSG00000086235,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102253,0,2,0,0,0,0,0,0,8,4,2,7
ENSMUSG00000093970,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103884,0,0,0,0,0,0,0,0,2,2,0,4
ENSMUSG00000084353,2,4,3,1,0,4,2,0,2,3,5,1
ENSMUSG00000103933,4,7,2,1,0,2,1,0,2,5,2,3
ENSMUSG00000076135,8,4,2,10,0,4,2,1,7,4,3,12
ENSMUSG00000086195,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104504,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000066693,0,0,1,0,2,0,0,2,6,7,3,2
ENSMUSG00000102316,4,0,0,0,2,0,1,4,10,0,2,1
ENSMUSG00000103819,0,2,0,2,0,0,0,0,2,0,0,0
ENSMUSG00000102871,2,2,0,0,4,2,7,0,10,10,12,3
ENSMUSG00000101571,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104428,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102272,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000065625,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103411,0,0,2,2,0,0,0,0,0,0,0,4
ENSMUSG00000061024,36,45,46,40,50,35,35,36,83,59,86,83
ENSMUSG00000025911,279,277,301,253,306,259,297,306,595,535,503,561
ENSMUSG00000079671,6,13,6,8,14,9,2,16,29,23,21,16
ENSMUSG00000081441,14,7,9,13,20,19,27,17,29,14,31,37
ENSMUSG00000067879,0,4,0,3,2,0,3,4,7,2,3,6
ENSMUSG00000099827,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025912,2,4,6,7,6,4,12,4,44,15,40,42
