,8wkc2.1,8wkc2.2,8wkc2.3,8wkc2.4,8wkl1.1,8wkl1.2,8wkl1.3,8wkl1.4,8wkl2.1,8wkl2.2,8wkl2.3,8wkl2.4
ENSMUSG00000102693,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951,0,0,0,0,2,0,2,0,0,0,4,0
ENSMUSG00000102851,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103377,0,0,0,0,0,0,2,2,0,0,0,0
ENSMUSG00000104017,0,0,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000103025,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147,0,0,0,0,0,0,0,4,0,0,0,2
ENSMUSG00000103161,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102331,0,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000102348,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025900,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102948,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025902,9,13,11,10,15,14,16,17,16,10,9,8
ENSMUSG00000104238,0,0,0,0,2,0,4,2,0,0,0,0
ENSMUSG00000102269,2,2,0,0,0,4,2,2,0,2,4,4
ENSMUSG00000096126,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104328,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102735,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098104,0,2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102175,2,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000088000,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103265,0,0,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000103922,4,9,10,10,14,16,12,11,10,8,14,8
ENSMUSG00000033845,264,270,300,272,324,344,300,265,256,257,244,268
ENSMUSG00000102275,3,7,2,3,0,2,2,2,3,6,3,2
ENSMUSG00000025903,452,539,519,473,650,610,630,635,653,630,649,651
ENSMUSG00000104217,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033813,457,424,433,426,523,527,535,513,554,524,549,546
ENSMUSG00000062588,4,6,0,2,3,7,4,9,0,8,2,8
ENSMUSG00000103280,6,4,2,4,4,0,2,0,0,0,0,0
ENSMUSG00000002459,0,0,0,0,0,0,0,0,0,2,0,2
ENSMUSG00000091305,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102653,0,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000085623,0,0,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000091665,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033793,407,416,440,414,485,464,529,454,480,387,475,488
ENSMUSG00000104352,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102907,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025905,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103936,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907,610,576,570,571,786,696,748,709,633,652,630,670
ENSMUSG00000090031,28,20,34,48,26,30,33,20,36,34,20,27
ENSMUSG00000087247,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103355,0,4,0,0,0,0,0,0,4,2,2,0
ENSMUSG00000102706,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103845,2,2,0,0,0,0,0,0,0,0,0,2
ENSMUSG00000033740,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103329,0,0,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000104385,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102135,9,4,2,2,2,0,0,2,0,0,0,0
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051285,1227,1225,1209,1264,1414,1277,1338,1361,1260,1186,1275,1227
ENSMUSG00000098201,4,5,2,0,8,4,5,2,0,12,3,0
ENSMUSG00000103509,88,65,65,103,73,75,105,67,66,36,67,55
ENSMUSG00000048538,197,166,230,199,166,154,167,126,155,166,165,166
ENSMUSG00000103709,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097797,0,0,1,0,4,2,2,0,2,0,0,0
ENSMUSG00000103498,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103067,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102320,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104226,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103903,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025909,12,2,4,10,4,8,6,14,10,5,11,12
ENSMUSG00000102647,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086235,0,0,0,0,0,0,2,0,0,0,0,0
ENSMUSG00000102253,0,0,0,0,0,4,0,0,0,0,0,0
ENSMUSG00000093970,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103884,0,0,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000084353,0,0,2,2,0,0,0,0,0,0,0,0
ENSMUSG00000103933,2,0,0,3,0,2,0,0,8,7,0,0
ENSMUSG00000076135,10,22,14,8,11,14,4,6,14,11,4,2
ENSMUSG00000086195,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104504,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000066693,3,0,6,2,0,0,0,2,0,4,0,0
ENSMUSG00000102316,0,0,2,0,0,0,0,0,0,0,0,0
ENSMUSG00000103819,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102871,0,0,0,0,0,2,0,2,0,0,0,2
ENSMUSG00000101571,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104428,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102272,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000065625,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103411,0,0,0,0,3,2,0,2,2,0,0,0
ENSMUSG00000061024,78,88,92,96,70,64,71,65,73,68,88,59
ENSMUSG00000025911,400,418,330,436,625,632,700,672,659,618,677,661
ENSMUSG00000079671,9,4,14,15,15,12,12,8,8,11,14,6
ENSMUSG00000081441,14,20,25,21,26,18,20,15,23,11,12,13
ENSMUSG00000067879,0,2,0,2,5,2,6,10,6,2,4,2
ENSMUSG00000099827,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025912,7,0,5,7,32,18,29,12,19,19,24,27
